Timestamp_s,Latency_ms,Status
57.156,99.76,200
57.266,101.44,200
56.431,1064.92,200
56.552,979.51,200
57.506,104.73,200
57.621,100.87,200
56.688,1083.23,200
56.868,954.80,200
57.781,105.33,200
57.897,101.34,200
56.992,1057.80,200
57.155,917.18,200
58.060,108.13,200
58.178,100.48,200
57.243,1042.96,200
57.377,981.77,200
58.296,102.34,200
58.409,102.65,200
57.542,1076.14,200
57.732,923.13,200
58.628,105.52,200
58.743,101.69,200
57.833,1058.27,200
58.008,919.07,200
58.901,107.11,200
59.018,101.59,200
58.082,1042.48,200
58.289,881.13,200
59.135,102.00,200
59.247,102.23,200
58.369,1046.94,200
58.522,905.80,200
59.426,105.98,200
59.542,102.92,200
58.855,850.72,200
58.665,1082.86,200
59.716,102.28,200
59.828,100.56,200
58.937,1065.76,200
59.130,873.44,200
59.359,867.23,200
59.180,1056.83,200
59.437,1055.49,200
59.655,881.81,200
59.758,1001.94,200
59.939,846.90,200
